datetime,consumption_mwh
2025-08-28 00:00:00+03:00,43827.78
2025-08-28 01:00:00+03:00,41763.82
2025-08-28 02:00:00+03:00,40229.46
2025-08-28 03:00:00+03:00,38964.72
2025-08-28 04:00:00+03:00,38338.44
2025-08-28 05:00:00+03:00,38012.24
2025-08-28 06:00:00+03:00,37099.06
2025-08-28 07:00:00+03:00,38816.59
2025-08-28 08:00:00+03:00,44535.86
2025-08-28 09:00:00+03:00,47230.64
2025-08-28 10:00:00+03:00,48361.31
2025-08-28 11:00:00+03:00,49672.82
2025-08-28 12:00:00+03:00,48749.6
2025-08-28 13:00:00+03:00,50225.87
2025-08-28 14:00:00+03:00,51395.95
2025-08-28 15:00:00+03:00,50951.53
2025-08-28 16:00:00+03:00,51291.69
2025-08-28 17:00:00+03:00,50948.83
2025-08-28 18:00:00+03:00,49813.79
2025-08-28 19:00:00+03:00,50933.33
2025-08-28 20:00:00+03:00,51110.66
2025-08-28 21:00:00+03:00,49502.26
2025-08-28 22:00:00+03:00,47807.45
2025-08-28 23:00:00+03:00,44732.38
