datetime;zone;powerConsumptionTotal;production_nuclear;production_geothermal;production_biomass;production_coal;production_wind;production_solar;production_hydro;production_gas;production_oil;production_unknown;production_hydro discharge;production_battery discharge;fossil_total;renewable_total;total_generation;percent_renewable;percent_fossil
2025-08-21 16:00:00+00:00;TR;52063;0;980;691;15569;3454;26;15038;16294;94;102;0;0;31957;20189;52248;38.64;61.16
2025-08-21 17:00:00+00:00;TR;52334;0;1023;678;15599;3483;0;15725;15855;55;102;0;0;31509;20909;52520;39.81;59.99
2025-08-21 18:00:00+00:00;TR;50740;0;1031;656;15508;3328;0;14677;15541;94;102;0;0;31143;19692;50937;38.66;61.14
2025-08-21 19:00:00+00:00;TR;49027;0;1060;719;15449;2849;0;13018;15894;94;102;0;0;31437;17646;49185;35.88;63.92
2025-08-21 20:00:00+00:00;TR;47266;0;1089;782;15390;2370;0;11360;16248;93;102;0;0;31731;15601;47434;32.89;66.9
2025-08-21 21:00:00+00:00;TR;45503;0;1119;845;15331;1891;0;9701;16602;93;102;0;0;32026;13556;45684;29.67;70.1
2025-08-21 22:00:00+00:00;TR;43262;0;1134;850;15249;1624;0;7865;16536;93;99;0;0;31878;11473;43450;26.41;73.37
2025-08-21 23:00:00+00:00;TR;41796;0;1154;854;15358;1511;0;6064;16854;93;97;0;0;32305;9583;41985;22.82;76.94
2025-08-22 00:00:00+00:00;TR;40551;0;1170;860;15528;1445;0;4741;16782;94;98;0;0;32404;8216;40718;20.18;79.58
2025-08-22 01:00:00+00:00;TR;39802;0;1191;871;15640;1370;0;4165;16552;94;103;0;0;32286;7597;39986;19.0;80.74
2025-08-22 02:00:00+00:00;TR;39405;0;1194;870;15695;1389;4;3546;16690;94;103;0;0;32479;7003;39585;17.69;82.05
2025-08-22 03:00:00+00:00;TR;38206;0;1202;860;15894;1465;242;2587;15970;93;103;0;0;31957;6356;38416;16.55;83.19
2025-08-22 04:00:00+00:00;TR;37619;0;1182;849;15983;1557;1393;2542;14126;94;103;0;0;30203;7523;37829;19.89;79.84
2025-08-22 05:00:00+00:00;TR;39458;0;1153;821;16053;1350;2447;3410;14216;93;107;0;0;30362;9181;39650;23.16;76.58
2025-08-22 06:00:00+00:00;TR;39328;0;1107;842;16295;1252;2797;3382;13405;94;105;0;0;29794;9380;39279;23.88;75.85
2025-08-22 07:00:00+00:00;TR;38358;0;1052;837;16450;1315;2989;2854;12244;94;105;0;0;28788;9047;37940;23.85;75.88
2025-08-22 08:00:00+00:00;TR;38576;0;1011;795;16280;1504;3089;2428;12804;45;107;0;0;29129;8827;38063;23.19;76.53
2025-08-22 09:00:00+00:00;TR;36703;0;990;758;16110;1624;3067;2194;11301;42;106;0;0;27453;8633;36192;23.85;75.85
2025-08-22 10:00:00+00:00;TR;36814;0;941;686;15754;1763;3022;2713;11227;44;107;0;0;27025;9125;36257;25.17;74.54
2025-08-22 11:00:00+00:00;TR;40300;0;913;666;15950;2078;2884;4404;12799;43;107;0;0;28792;10945;39844;27.47;72.26
2025-08-22 12:00:00+00:00;TR;40300;0;913;666;15950;2078;2884;4404;12799;43;107;0;0;28792;10945;39844;27.47;72.26
2025-08-22 13:00:00+00:00;TR;42801;0;918;646;15914;2397;2588;5578;14201;43;107;0;0;30158;12127;42392;28.61;71.14
2025-08-22 14:00:00+00:00;TR;45289;0;927;640;15827;2664;1923;7683;15344;43;108;0;0;31214;13837;45159;30.64;69.12
2025-08-22 15:00:00+00:00;TR;46534;0;942;639;15824;2807;798;9706;15817;44;109;0;0;31685;14892;46686;31.9;67.87
